Restaurant,pic,url
Eaters Stop ,https://lh3.googleusercontent.com/p/AF1QipNL7-G2w9M1YikwZ5_Hbb0p0N-qlRE-arWw_Xrw=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/eaters-stop-1-nad-junction-vizag
V Nawabi Darbar,https://lh3.googleusercontent.com/p/AF1QipOuG6sPuHZIUkBIVFp_c2R7mjhgiBwj6IkFjG_f=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/v-nawabi-darbar-akkayyapalem-vizag
Royal Foodies,https://lh3.googleusercontent.com/p/AF1QipMO-ctucnkO92mQwGIitlU6CQL0XSwFLx09QRA=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/royal-foodies-gajuwaka-vizag
Fusion Foods,https://lh3.googleusercontent.com/p/AF1QipM7Qq2pL2-wHzyK_EcP7YAVYXmJPCeEkvccZEf3=s1360-w1360-h1020,https://www.fusionfoods.net/
MandiCroods,https://lh3.googleusercontent.com/p/AF1QipP8KagURCQnN8J3ELkogUX-zypqpL5cg1ekgP8A=w1080-h608-p-no-v0,https://mandi-croods-restaurant.business.site/
WILD & MILD BBQ,https://lh3.googleusercontent.com/p/AF1QipP5qCxt0uD_3CLaRpiwady-HIbJ5VrVCNzWCGHV=s1360-w1360-h1020,https://wild-and-mild-bbq-grills.business.site/?utm_source=gmb&utm_medium=referral
Raju's Kitchen,https://lh3.googleusercontent.com/p/AF1QipOLtsJkWsQulLVMufwuijC51X4hTL5n-a1aoqA=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/rajus-kitchen-seethammadhara-vizag
SVN Food House,https://lh3.googleusercontent.com/p/AF1QipPvSMvvxmafV44ydKABKUyBx_DyGchjt2d9-O6F=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/svn-food-house-gajuwaka-vizag
Taj Hyderabadi,https://lh3.googleusercontent.com/p/AF1QipMhJN4Y2dI7RIky_JBdfL20gG82fsDSPyl-LiOx=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/taj-hyderabadi-biryani-gajuwaka-vizag
Gad,https://lh3.googleusercontent.com/p/AF1QipMxqghi1heiJnJ2lx9kZDJqmEKmrbz2oZHVpfj7=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/gad-the-gateway-hotel-maharani-peta/photos
Sizzlly Chicken,https://lh3.googleusercontent.com/p/AF1QipOvZq7ZYIbP0hHCw8GEHdcD-3A_AITTcmpRliV3=s1360-w1360-h1020,https://www.sizzllychicken.com/
Millet Zone,https://lh3.googleusercontent.com/p/AF1QipP1qhkJh_wcjC7VJGmIiJMqn86L_vF2bTxngnjt=s1360-w1360-h1020,https://www.swiggy.com/restaurants/millet-zone-vuda-colony-gajuwaka-vizag-707855?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
7 To 9 Foods,https://lh3.googleusercontent.com/p/AF1QipPPXHnaTNSI7Yx8KDJYCYmfw6eEUFMqXbZn-56i=s1360-w1360-h1020,https://www.swiggy.com/restaurants/7-to-9-foods-waltair-road-chinna-waltair-vizag-436441
Mom's Mazic,https://lh3.googleusercontent.com/p/AF1QipP0srBb6hfXqcYjdM_XPYtDBfpAn2wq8_JUyCT6=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/moms-mazic-gajuwaka-vizag
Mindis Restaurant,https://lh3.googleusercontent.com/p/AF1QipP97nuRqG3z0RaON6Q0WXK6ikZUKkXwFegwGxxz=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/mindis-restaurant-sagar-nagar-vizag
Bcafe,https://lh3.googleusercontent.com/p/AF1QipMHNvHBDyh3bxV7rp6VJcv2_v0sILV_FXmq9MkT=s1360-w1360-h1020,https://www.bcafe.co.in/service-details.php
Zaffran,https://lh3.googleusercontent.com/p/AF1QipOwZXcN1jp8sgrU_sYKhmJwurP5ZUtYFfKPphKi=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/zaffran-hotel-novotel-maharani-peta-vizag
Indo-Arabic Restaurant,https://lh3.googleusercontent.com/p/AF1QipMbJFjyrugvZLjzqkVE7p4BsF5DO7wUivKIC1er=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/barkaas-indo-arabic-restaurant-gajuwaka-vizag
Choose Your Fry,https://lh3.googleusercontent.com/p/AF1QipP6Hqni-Hw5MNND5whMZEGQ2p08ton8Z5H1oQlk=s1360-w1360-h1020,https://magicpin.in/Visakhapatnam/Gajuwaka/Restaurant/Choose-Your-Fry/store/cc068b/
KFC,https://b.zmtcdn.com/data/pictures/chains/1/931/9410759d611db9c62c3acc23c1f27e06.jpg,https://online.kfc.co.in/
4 Seasons Bakery,"https://b.zmtcdn.com/data/pictures/0/2800030/2a6b47c1df2022d5e3ffdecf724f781c.jpg?fit=around|750:500&crop=750:500;*,*",https://www.zomato.com/visakhapatnam/4-seasons-bakery-restaurant-gajuwaka-vizag
KUNG FU CHOP,https://lh3.googleusercontent.com/p/AF1QipOR-7J31GMopig0xzpAJYqOaSJaDmta1ejlyP3n=s680-w680-h510,https://www.zomato.com/visakhapatnam/kung-fu-chop-maddilapalem-vizag
The Asian,https://lh3.googleusercontent.com/p/AF1QipOSwsw7yaatKPmaB-txczFZjbrGBlNgIRkMY7xe=s680-w680-h510,https://www.zomato.com/visakhapatnam/the-asian-mvp-colony-vizag
